,AAPL,MSFT
2022-05-14 00:00:00+00:00,139.03437551961312,241.4112323386318
2022-05-15 00:00:00+00:00,138.87159045767277,241.22244009735633
2022-05-16 00:00:00+00:00,138.710195555831,241.03576125267202
2022-05-17 00:00:00+00:00,138.55018408255725,240.85117838958223
2022-05-18 00:00:00+00:00,138.391549265257,240.66867416834617
2022-05-19 00:00:00+00:00,138.23428429188294,240.4882313251671
2022-05-20 00:00:00+00:00,138.07838231251998,240.30983267285856
2022-05-21 00:00:00+00:00,137.92383644094494,240.133461101488
2022-05-22 00:00:00+00:00,137.77063975616116,239.95909957899923
2022-05-23 00:00:00+00:00,137.61878530390754,239.7867311518128
2022-05-24 00:00:00+00:00,137.4682660981436,239.61633894540628
2022-05-25 00:00:00+00:00,137.3190751225096,239.44790616487276
2022-05-26 00:00:00+00:00,137.17120533176276,239.28141609545978
2022-05-27 00:00:00+00:00,137.0246496531898,239.11685210308787
2022-05-28 00:00:00+00:00,136.87940098799567,238.95419763484915
2022-05-29 00:00:00+00:00,136.73545221266917,238.79343621948698
2022-05-30 00:00:00+00:00,136.5927961803255,238.63455146785603
2022-05-31 00:00:00+00:00,136.45142572202624,238.47752707336377
2022-06-01 00:00:00+00:00,136.31133364807664,238.32234681239333
2022-06-02 00:00:00+00:00,136.172512749301,238.16899454470834
2022-06-03 00:00:00+00:00,136.03495579829598,238.01745421383953
2022-06-04 00:00:00+00:00,135.8986555506623,237.8677098474541
2022-06-05 00:00:00+00:00,135.76360474621504,237.71974555770748
2022-06-06 00:00:00+00:00,135.62979611017278,237.57354554157803
2022-06-07 00:00:00+00:00,135.49722235432606,237.4290940811853
2022-06-08 00:00:00+00:00,135.36587617818503,237.28637554409144
2022-06-09 00:00:00+00:00,135.2357502701068,237.14537438358659
2022-06-10 00:00:00+00:00,135.1068373084026,237.0060751389584
2022-06-11 00:00:00+00:00,134.97912996242528,236.86846243574573
2022-06-12 00:00:00+00:00,134.852620893637,236.73252098597698
2022-06-13 00:00:00+00:00,134.72730275665768,236.5982355883936
2022-06-14 00:00:00+00:00,134.60316820029414,236.46559112865822
2022-06-15 00:00:00+00:00,134.4802098685505,236.3345725795486
2022-06-16 00:00:00+00:00,134.35842040161998,236.205165001137
2022-06-17 00:00:00+00:00,134.23779243685797,236.07735354095558
2022-06-18 00:00:00+00:00,134.11831860973726,235.9511234341479
2022-06-19 00:00:00+00:00,133.99999155478508,235.82646000360666
2022-06-20 00:00:00+00:00,133.88280390650252,235.70334866009838
2022-06-21 00:00:00+00:00,133.76674830026633,235.58177490237478
2022-06-22 00:00:00+00:00,133.65181737321356,235.4617243172711
2022-06-23 00:00:00+00:00,133.538003765109,235.34318257979214
2022-06-24 00:00:00+00:00,133.42530011919598,235.22613545318563
2022-06-25 00:00:00+00:00,133.3136990830302,235.11056878900342
2022-06-26 00:00:00+00:00,133.20319330929752,234.99646852715074
2022-06-27 00:00:00+00:00,133.09377545661525,234.88382069592367
2022-06-28 00:00:00+00:00,132.98543819031772,234.7726114120352
2022-06-29 00:00:00+00:00,132.87817418322572,234.6628268806297
2022-06-30 00:00:00+00:00,132.77197611640065,234.5544533952868
2022-07-01 00:00:00+00:00,132.66683667988332,234.4474773380137
2022-07-02 00:00:00+00:00,132.56274857341722,234.34188517922726
2022-07-03 00:00:00+00:00,132.45970450715728,234.23766347772565
2022-07-04 00:00:00+00:00,132.35769720236354,234.13479888064944
2022-07-05 00:00:00+00:00,132.25671939208033,234.0332781234327
2022-07-06 00:00:00+00:00,132.15676382180115,233.93308802974445
2022-07-07 00:00:00+00:00,132.05782325011924,233.8342155114202
2022-07-08 00:00:00+00:00,131.95989044936428,233.7366475683841
2022-07-09 00:00:00+00:00,131.8629582062251,233.6403712885615
2022-07-10 00:00:00+00:00,131.767019322359,233.5453738477831
2022-07-11 00:00:00+00:00,131.6720666149874,233.4516425096794
2022-07-12 00:00:00+00:00,131.57809291747841,233.35916462556696
2022-07-13 00:00:00+00:00,131.48509107991634,233.2679276343257
2022-07-14 00:00:00+00:00,131.39305396965804,233.17791906226813
2022-07-15 00:00:00+00:00,131.30197447187692,233.08912652300026
