,AAPL,MSFT
2022-08-11 00:00:00+00:00,129.17939872961216,231.1085068330415
2022-08-12 00:00:00+00:00,129.11233082037597,231.04908289583108
2022-08-13 00:00:00+00:00,129.0460239699731,230.99055287658365
2022-08-14 00:00:00+00:00,128.98047179467255,230.93290690890663
2022-08-15 00:00:00+00:00,128.91566793999863,230.8761352061747
2022-08-16 00:00:00+00:00,128.85160608095117,230.82022806120762
2022-08-17 00:00:00+00:00,128.78827992221807,230.76517584594498
2022-08-18 00:00:00+00:00,128.7256831983802,230.71096901111713
2022-08-19 00:00:00+00:00,128.6638096741087,230.65759808591267
2022-08-20 00:00:00+00:00,128.6026531443546,230.60505367764316
2022-08-21 00:00:00+00:00,128.54220743453166,230.55332647140398
2022-08-22 00:00:00+00:00,128.48246640069146,230.5024072297327
2022-08-23 00:00:00+00:00,128.42342392969175,230.45228679226426
2022-08-24 00:00:00+00:00,128.36507393935747,230.40295607538303
2022-08-25 00:00:00+00:00,128.30741037863558,230.35440607187277
2022-08-26 00:00:00+00:00,128.2504272277422,230.30662785056307
2022-08-27 00:00:00+00:00,128.19411849830394,230.259612555974
2022-08-28 00:00:00+00:00,128.13847823349224,230.21335140795773
2022-08-29 00:00:00+00:00,128.0835005081515,230.1678357013379
2022-08-30 00:00:00+00:00,128.0291794289207,230.12305680554684
2022-08-31 00:00:00+00:00,127.97550913434908,230.07900616426042
2022-09-01 00:00:00+00:00,127.92248379500528,230.0356752950308
2022-09-02 00:00:00+00:00,127.87009761358108,229.99305578891722
2022-09-03 00:00:00+00:00,127.81834482498871,229.95113931011454
2022-09-04 00:00:00+00:00,127.76721969645271,229.9099175955803
2022-09-05 00:00:00+00:00,127.71671652759571,229.8693824546598
2022-09-06 00:00:00+00:00,127.66682965051906,229.8295257687094
2022-09-07 00:00:00+00:00,127.61755342987769,229.79033949071825
2022-09-08 00:00:00+00:00,127.56888226294946,229.7518156449284
2022-09-09 00:00:00+00:00,127.52081057969949,229.71394632645362
2022-09-10 00:00:00+00:00,127.47333284283907,229.67672370089653
2022-09-11 00:00:00+00:00,127.42644354787944,229.6401400039647
2022-09-12 00:00:00+00:00,127.38013722318061,229.60418754108505
2022-09-13 00:00:00+00:00,127.33440842999521,229.5688586870177
2022-09-14 00:00:00+00:00,127.28925176250736,229.53414588546798
2022-09-15 00:00:00+00:00,127.24466184786702,229.50004164869804
2022-09-16 00:00:00+00:00,127.20063334621945,229.46653855713677
2022-09-17 00:00:00+00:00,127.15716095073,229.43362925898975
2022-09-18 00:00:00+00:00,127.11423938760473,229.40130646984733
2022-09-19 00:00:00+00:00,127.0718634161062,229.36956297229258
2022-09-20 00:00:00+00:00,127.03002782856515,229.33839161550839
2022-09-21 00:00:00+00:00,126.98872745038787,229.30778531488372
2022-09-22 00:00:00+00:00,126.94795714005934,229.2777370516193
2022-09-23 00:00:00+00:00,126.90771178914227,229.24823987233322
2022-09-24 00:00:00+00:00,126.8679863222721,229.21928688866512
2022-09-25 00:00:00+00:00,126.8287756971482,229.190871276881
2022-09-26 00:00:00+00:00,126.79007490452094,229.16298627747688
2022-09-27 00:00:00+00:00,126.75187896817499,229.13562519478248
2022-09-28 00:00:00+00:00,126.71418294490935,229.10878139656455
2022-09-29 00:00:00+00:00,126.67698192451292,229.08244831363027
2022-09-30 00:00:00+00:00,126.6402710297372,229.0566194394298
2022-10-01 00:00:00+00:00,126.60404541626531,229.03128832965965
2022-10-02 00:00:00+00:00,126.56830027267708,229.00644860186517
2022-10-03 00:00:00+00:00,126.53303082041157,228.98209393504362
