Date,AAPL,MSFT
2023-07-17 00:00:00+00:00,144.46845241733746,253.2509105286758
2023-07-18 00:00:00+00:00,144.42337060636348,253.23606652672737
2023-07-19 00:00:00+00:00,144.37890558249995,253.22164448226218
2023-07-20 00:00:00+00:00,144.33505064953357,253.20763852238235
2023-07-21 00:00:00+00:00,144.291799173665,253.19404283853936
2023-07-24 00:00:00+00:00,144.24914458300327,253.1808516859299
2023-07-25 00:00:00+00:00,144.20708036706446,253.16805938289644
2023-07-26 00:00:00+00:00,144.16560007627282,253.15566031033308
2023-07-27 00:00:00+00:00,144.12469732146613,253.1436489110958
2023-07-28 00:00:00+00:00,144.08436577340368,253.1320196894181
2023-07-31 00:00:00+00:00,144.04459916227844,253.12076721033094
2023-08-01 00:00:00+00:00,144.0053912772318,253.1098860990877
2023-08-02 00:00:00+00:00,143.96673596587203,253.09937104059395
2023-08-03 00:00:00+00:00,143.92862713379597,253.0892167788414
2023-08-04 00:00:00+00:00,143.8910587441142,253.07941811634726
2023-08-07 00:00:00+00:00,143.85402481697906,253.06996991359765
2023-08-08 00:00:00+00:00,143.81751942911643,253.06086708849602
2023-08-09 00:00:00+00:00,143.7815367133603,253.05210461581567
2023-08-10 00:00:00+00:00,143.746070858191,253.04367752665712
2023-08-11 00:00:00+00:00,143.71111610727615,253.03558090791017
2023-08-14 00:00:00+00:00,143.67666675901532,253.02780990171988
2023-08-15 00:00:00+00:00,143.64271716608758,253.0203597049575
2023-08-16 00:00:00+00:00,143.60926173500218,253.0132255686956
2023-08-17 00:00:00+00:00,143.57629492565238,253.0064027976873
2023-08-18 00:00:00+00:00,143.54381125087278,252.99988674985053
2023-08-21 00:00:00+00:00,143.5118052759991,252.99367283575594
2023-08-22 00:00:00+00:00,143.48027161843174,252.98775651811954
2023-08-23 00:00:00+00:00,143.44920494720188,252.9821333112992
2023-08-24 00:00:00+00:00,143.41859998254094,252.97679878079572
2023-08-25 00:00:00+00:00,143.38845149545307,252.971748542758
2023-08-28 00:00:00+00:00,143.35875430729047,252.9669782634922
2023-08-29 00:00:00+00:00,143.32950328933214,252.96248365897526
2023-08-30 00:00:00+00:00,143.30069336236494,252.95826049437235
2023-08-31 00:00:00+00:00,143.2723194962684,252.9543045835587
2023-09-01 00:00:00+00:00,143.24437670960208,252.9506117886448
2023-09-05 00:00:00+00:00,143.21686006919583,252.9471780195066
2023-09-06 00:00:00+00:00,143.18976468974316,252.94399923331872
2023-09-07 00:00:00+00:00,143.16308573339742,252.94107143409252
2023-09-08 00:00:00+00:00,143.1368184093712,252.93839067221705
2023-09-11 00:00:00+00:00,143.11095797353775,252.93595304400503
2023-09-12 00:00:00+00:00,143.08549972803658,252.93375469124186
2023-09-13 00:00:00+00:00,143.06043902088064,252.93179180073886
2023-09-14 00:00:00+00:00,143.03577124556722,252.9300606038904
2023-09-15 00:00:00+00:00,143.01149184069118,252.92855737623432
2023-09-18 00:00:00+00:00,142.98759628956122,252.9272784370167
2023-09-19 00:00:00+00:00,142.96408011981876,252.92622014876025
2023-09-20 00:00:00+00:00,142.94093890306004,252.92537891683588
2023-09-21 00:00:00+00:00,142.91816825446008,252.92475118903866
2023-09-22 00:00:00+00:00,142.89576383240063,252.92433345516702
2023-09-25 00:00:00+00:00,142.87372133809953,252.92412224660575
2023-09-26 00:00:00+00:00,142.85203651524387,252.9241141359123
2023-09-27 00:00:00+00:00,142.83070514962517,252.92430573640704
2023-09-28 00:00:00+00:00,142.80972306877754,252.92469370176684
2023-09-29 00:00:00+00:00,142.78908614161838,252.92527472562233
2023-10-02 00:00:00+00:00,142.76879027809187,252.9260455411584
2023-10-03 00:00:00+00:00,142.74883142881492,252.92700292071845
2023-10-04 00:00:00+00:00,142.72920558472583,252.92814367541163
2023-10-05 00:00:00+00:00,142.70990877673563,252.92946465472437
2023-10-06 00:00:00+00:00,142.6909370753818,252.93096274613413
2023-10-09 00:00:00+00:00,142.67228659048482,252.93263487472743
2023-10-10 00:00:00+00:00,142.653953470807,252.93447800282104
2023-10-11 00:00:00+00:00,142.6359339037142,252.93648912958602
2023-10-12 00:00:00+00:00,142.61822411483965,252.93866529067566
2023-10-13 00:00:00+00:00,142.60082036775066,252.94100355785613
2023-10-16 00:00:00+00:00,142.58371896361766,252.94350103864096
2023-10-17 00:00:00+00:00,142.56691624088572,252.94615487592822
2023-10-18 00:00:00+00:00,142.55040857494853,252.94896224764105
2023-10-19 00:00:00+00:00,142.53419237782492,252.95192036637158
2023-10-20 00:00:00+00:00,142.51826409783772,252.9550264790276
2023-10-23 00:00:00+00:00,142.50262021929507,252.95827786648275
2023-10-24 00:00:00+00:00,142.48725726217427,252.9616718432295
2023-10-25 00:00:00+00:00,142.47217178180773,252.96520575703528
2023-10-26 00:00:00+00:00,142.45736036857167,252.96887698860186
2023-10-27 00:00:00+00:00,142.44281964757678,252.9726829512273
2023-10-30 00:00:00+00:00,142.4285462783617,252.9766210904714
2023-10-31 00:00:00+00:00,142.41453695458821,252.98068888382406
2023-11-01 00:00:00+00:00,142.40078840373957,252.98488384037583
2023-11-02 00:00:00+00:00,142.38729738682036,252.9892035004929
2023-11-03 00:00:00+00:00,142.3740606980591,252.9936454354932
2023-11-06 00:00:00+00:00,142.36107516461306,252.9982072473271
2023-11-07 00:00:00+00:00,142.3483376462751,253.00288656825958
2023-11-08 00:00:00+00:00,142.33584503518316,253.00768106055617
