Date,Forecast
2023-07-06,94.71586397686328
2023-07-07,94.46388938296441
2023-07-08,94.72508575685202
2023-07-09,94.84736910260759
2023-07-10,94.86369056178727
2023-07-11,94.97480488046212
2023-07-12,94.82805578981684
2023-07-13,94.97110583376569
2023-07-14,94.04269289403737
2023-07-15,95.0016124458454
2023-07-16,93.9034909311473
2023-07-17,94.98680971355782
2023-07-18,94.74962806842612
2023-07-19,94.49765347452725
2023-07-20,94.75884984841487
2023-07-21,94.88113319417043
2023-07-22,94.89745465335011
2023-07-23,95.00856897202496
2023-07-24,94.86181988137969
2023-07-25,95.00486992532853
2023-07-26,94.07645698560022
2023-07-27,95.03537653740824
2023-07-28,93.93725502271015
2023-07-29,95.02057380512066
2023-07-30,94.78339215998896
2023-07-31,94.5314175660901
2023-08-01,94.79261393997771
